aircraft_id,aircraft_code,manufacturer,model,capacity,manufacturing_year,status
AC0001,A350-001,Airbus,A350,320,2025,Maintenance
AC0002,737-800-002,Boeing,737-800,189,2022,Active
AC0003,737MAX8-003,Boeing,737 MAX 8,210,2018,Maintenance
AC0004,A350-004,Airbus,A350,320,2019,Maintenance
AC0005,787-9Dreamliner-005,Boeing,787-9 Dreamliner,290,2023,Inactive
AC0006,737-800-006,Boeing,737-800,189,2018,Inactive
AC0007,737-800-007,Boeing,737-800,189,2021,Inactive
AC0008,A321-008,Airbus,A321,220,2020,Maintenance
AC0009,A321-009,Airbus,A321,220,2023,Maintenance
AC0010,777-300ER-010,Boeing,777-300ER,396,2022,Inactive
AC0011,737-800-011,Boeing,737-800,189,2025,Inactive
AC0012,A350-012,Airbus,A350,320,2024,Inactive
AC0013,777-300ER-013,Boeing,777-300ER,396,2020,Inactive
AC0014,A320-014,Airbus,A320,180,2024,Active
AC0015,A321-015,Airbus,A321,220,2018,Active
AC0016,A350-016,Airbus,A350,320,2022,Active
AC0017,A320-017,Airbus,A320,180,2025,Active
AC0018,A320-018,Airbus,A320,180,2020,Inactive
AC0019,A330-019,Airbus,A330,280,2023,Active
AC0020,737-800-020,Boeing,737-800,189,2016,Active
AC0021,777-300ER-021,Boeing,777-300ER,396,2022,Maintenance
AC0022,777-300ER-022,Boeing,777-300ER,396,2023,Active
AC0023,737MAX8-023,Boeing,737 MAX 8,210,2019,Maintenance
AC0024,A321-024,Airbus,A321,220,2019,Active
AC0025,737-800-025,Boeing,737-800,189,2018,Maintenance
AC0026,A330-026,Airbus,A330,280,2019,Maintenance
AC0027,737MAX8-027,Boeing,737 MAX 8,210,2018,Maintenance
AC0028,A320-028,Airbus,A320,180,2016,Active
AC0029,A330-029,Airbus,A330,280,2024,Active
AC0030,A321-030,Airbus,A321,220,2017,Active
AC0031,A350-031,Airbus,A350,320,2025,Active
AC0032,737-800-032,Boeing,737-800,189,2018,Inactive
AC0033,A320-033,Airbus,A320,180,2018,Inactive
AC0034,777-300ER-034,Boeing,777-300ER,396,2020,Active
AC0035,777-300ER-035,Boeing,777-300ER,396,2019,Active
AC0036,A330-036,Airbus,A330,280,2021,Maintenance
AC0037,787-9Dreamliner-037,Boeing,787-9 Dreamliner,290,2025,Maintenance
AC0038,737MAX8-038,Boeing,737 MAX 8,210,2019,Active
AC0039,737MAX8-039,Boeing,737 MAX 8,210,2020,Inactive
AC0040,A330-040,Airbus,A330,280,2022,Active
AC0041,777-300ER-041,Boeing,777-300ER,396,2018,Active
AC0042,737-800-042,Boeing,737-800,189,2018,Inactive
AC0043,737-800-043,Boeing,737-800,189,2017,Maintenance
AC0044,777-300ER-044,Boeing,777-300ER,396,2017,Active
AC0045,A350-045,Airbus,A350,320,2021,Maintenance
AC0046,787-9Dreamliner-046,Boeing,787-9 Dreamliner,290,2016,Active
AC0047,787-9Dreamliner-047,Boeing,787-9 Dreamliner,290,2021,Inactive
AC0048,777-300ER-048,Boeing,777-300ER,396,2021,Maintenance
AC0049,A330-049,Airbus,A330,280,2016,Maintenance
AC0050,787-9Dreamliner-050,Boeing,787-9 Dreamliner,290,2018,Inactive
