aircraft_id,aircraft_code,manufacturer,model,capacity,manufacturing_year,status
AC0001,A330-001,Airbus,A330,280,2021,Maintenance
AC0002,737-800-002,Boeing,737-800,189,2017,Inactive
AC0003,787-9Dreamliner-003,Boeing,787-9 Dreamliner,290,2018,Inactive
AC0004,737-800-004,Boeing,737-800,189,2018,Active
AC0005,737-800-005,Boeing,737-800,189,2021,Inactive
AC0006,A320-006,Airbus,A320,180,2023,Maintenance
AC0007,737-800-007,Boeing,737-800,189,2016,Inactive
AC0008,A350-008,Airbus,A350,320,2024,Active
AC0009,737MAX8-009,Boeing,737 MAX 8,210,2022,Maintenance
AC0010,A330-010,Airbus,A330,280,2020,Maintenance
AC0011,A350-011,Airbus,A350,320,2024,Active
AC0012,A350-012,Airbus,A350,320,2020,Maintenance
AC0013,A321-013,Airbus,A321,220,2018,Inactive
AC0014,A350-014,Airbus,A350,320,2019,Active
AC0015,737MAX8-015,Boeing,737 MAX 8,210,2018,Maintenance
AC0016,A320-016,Airbus,A320,180,2018,Maintenance
AC0017,A350-017,Airbus,A350,320,2024,Active
AC0018,777-300ER-018,Boeing,777-300ER,396,2021,Maintenance
AC0019,737MAX8-019,Boeing,737 MAX 8,210,2018,Active
AC0020,A350-020,Airbus,A350,320,2024,Inactive
AC0021,A350-021,Airbus,A350,320,2021,Active
AC0022,777-300ER-022,Boeing,777-300ER,396,2020,Active
AC0023,A321-023,Airbus,A321,220,2021,Inactive
AC0024,737MAX8-024,Boeing,737 MAX 8,210,2016,Active
AC0025,737MAX8-025,Boeing,737 MAX 8,210,2017,Active
AC0026,737-800-026,Boeing,737-800,189,2021,Active
AC0027,A321-027,Airbus,A321,220,2022,Maintenance
AC0028,737MAX8-028,Boeing,737 MAX 8,210,2021,Inactive
AC0029,A350-029,Airbus,A350,320,2025,Inactive
AC0030,A350-030,Airbus,A350,320,2023,Inactive
AC0031,A330-031,Airbus,A330,280,2017,Inactive
AC0032,A330-032,Airbus,A330,280,2017,Active
AC0033,A330-033,Airbus,A330,280,2020,Inactive
AC0034,A330-034,Airbus,A330,280,2017,Active
AC0035,737-800-035,Boeing,737-800,189,2021,Active
AC0036,A320-036,Airbus,A320,180,2017,Maintenance
AC0037,A330-037,Airbus,A330,280,2023,Active
AC0038,787-9Dreamliner-038,Boeing,787-9 Dreamliner,290,2022,Inactive
AC0039,A330-039,Airbus,A330,280,2025,Inactive
AC0040,A321-040,Airbus,A321,220,2022,Active
AC0041,737MAX8-041,Boeing,737 MAX 8,210,2025,Active
AC0042,737-800-042,Boeing,737-800,189,2023,Active
AC0043,A330-043,Airbus,A330,280,2022,Maintenance
AC0044,A321-044,Airbus,A321,220,2024,Maintenance
AC0045,737MAX8-045,Boeing,737 MAX 8,210,2022,Inactive
AC0046,A320-046,Airbus,A320,180,2023,Inactive
AC0047,787-9Dreamliner-047,Boeing,787-9 Dreamliner,290,2018,Maintenance
AC0048,777-300ER-048,Boeing,777-300ER,396,2025,Inactive
AC0049,787-9Dreamliner-049,Boeing,787-9 Dreamliner,290,2020,Maintenance
AC0050,A320-050,Airbus,A320,180,2016,Maintenance
